alias,sample,biosample
mada_1-7,ERS10792195,SAMEA13188658
mada_109,ERS10792196,SAMEA13188659
mada_1-28,ERS10792197,SAMEA13188660
mada_135,ERS10792198,SAMEA13188661
mada_1-43,ERS10792199,SAMEA13188662
mada_2-31,ERS10792200,SAMEA13188663
mada_2-50,ERS10792201,SAMEA13188664
mada_110,ERS10792202,SAMEA13188665
mada_2-1,ERS10792203,SAMEA13188666
mada_1-22,ERS10792204,SAMEA13188667
mada_1-36,ERS10792205,SAMEA13188668
mada_120,ERS10792206,SAMEA13188669
mada_107,ERS10792207,SAMEA13188670
mada_1-51,ERS10792208,SAMEA13188671
mada_1-6,ERS10792209,SAMEA13188672
mada_1-53,ERS10792210,SAMEA13188673
mada_130,ERS10792211,SAMEA13188674
mada_2-34,ERS10792212,SAMEA13188675
mada_1-40,ERS10792213,SAMEA13188676
mada_143,ERS10792214,SAMEA13188677
mada_1-25,ERS10792215,SAMEA13188678
mada_1-30,ERS10792216,SAMEA13188679
mada_1-33,ERS10792217,SAMEA13188680
mada_111,ERS10792218,SAMEA13188681
mada_102,ERS10792219,SAMEA13188682
mada_1-48,ERS10792220,SAMEA13188683
mada_1-47,ERS10792221,SAMEA13188684
mada_116,ERS10792222,SAMEA13188685
mada_150,ERS10792223,SAMEA13188686
mada_1-39,ERS10792224,SAMEA13188687
mada_1-44,ERS10792225,SAMEA13188688
mada_132,ERS10792226,SAMEA13188689
mada_128,ERS10792227,SAMEA13188690
mada_2-46,ERS10792228,SAMEA13188691
mada_112,ERS10792229,SAMEA13188692
mada_1-12,ERS10792230,SAMEA13188693
mada_154,ERS10792231,SAMEA13188694
mada_126,ERS10792232,SAMEA13188695
mada_1-5,ERS10792233,SAMEA13188696
mada_122,ERS10792234,SAMEA13188697
mada_133,ERS10792235,SAMEA13188698
mada_1-16,ERS10792236,SAMEA13188699
mada_140,ERS10792237,SAMEA13188700
mada_134,ERS10792238,SAMEA13188701
mada_123,ERS10792239,SAMEA13188702
mada_2-42,ERS10792240,SAMEA13188703
mada_127,ERS10792241,SAMEA13188704
mada_117,ERS10792242,SAMEA13188705
mada_1-1,ERS10792243,SAMEA13188706
mada_124,ERS10792244,SAMEA13188707
mada_151,ERS10792245,SAMEA13188708
mada_139,ERS10792246,SAMEA13188709
mada_121,ERS10792247,SAMEA13188710
mada_113,ERS10792248,SAMEA13188711
mada_1-18,ERS10792249,SAMEA13188712
mada_131,ERS10792250,SAMEA13188713
mada_1-38,ERS10792251,SAMEA13188714
mada_104,ERS10792252,SAMEA13188715
mada_1-46,ERS10792253,SAMEA13188716
mada_2-25,ERS10792254,SAMEA13188717
mada_129,ERS10792255,SAMEA13188718
mada_118,ERS10792256,SAMEA13188719
mada_136,ERS10792257,SAMEA13188720
mada_1-50,ERS10792258,SAMEA13188721
mada_1-11,ERS10792259,SAMEA13188722
mada_1-41,ERS10792260,SAMEA13188723
mada_1-2,ERS10792261,SAMEA13188724
mada_1-19,ERS10792262,SAMEA13188725
mada_1-10,ERS10792263,SAMEA13188726
mada_1-3,ERS10792264,SAMEA13188727
mada_1-8,ERS10792265,SAMEA13188728
mada_1-15,ERS10792266,SAMEA13188729
mada_105,ERS10792267,SAMEA13188730
mada_125,ERS10792268,SAMEA13188731
mada_144,ERS10792269,SAMEA13188732
mada_1-21,ERS10792270,SAMEA13188733
mada_1-14,ERS10792271,SAMEA13188734
mada_141,ERS10792272,SAMEA13188735
mada_103,ERS10792273,SAMEA13188736
mada_115,ERS10792274,SAMEA13188737
mada_137,ERS10792275,SAMEA13188738
mada_1-17,ERS10792276,SAMEA13188739
mada_1-13,ERS10792277,SAMEA13188740
mada_1-20,ERS10792278,SAMEA13188741
mada_142,ERS10792279,SAMEA13188742
mada_148,ERS10792280,SAMEA13188743
mada_1-54,ERS10792281,SAMEA13188744
mada_106,ERS10792282,SAMEA13188745
mada_1-32,ERS10792283,SAMEA13188746
mada_2-53,ERS10792284,SAMEA13188747
mada_152,ERS10792285,SAMEA13188748
R26791,ERS10792286,SAMEA13188749
R21363,ERS10792287,SAMEA13188750
R30234,ERS10792288,SAMEA13188751
R36431,ERS10792289,SAMEA13188752
R27252,ERS10792290,SAMEA13188753
R29816,ERS10792291,SAMEA13188754
R29598,ERS10792292,SAMEA13188755
R30078,ERS10792293,SAMEA13188756
R24100,ERS10792294,SAMEA13188757
R31095,ERS10792295,SAMEA13188758
R18043,ERS10792296,SAMEA13188759
R18040,ERS10792297,SAMEA13188760
R27937,ERS10792298,SAMEA13188761
R30396,ERS10792299,SAMEA13188762
R27657,ERS10792300,SAMEA13188763
R30420,ERS10792301,SAMEA13188764
R21839,ERS10792302,SAMEA13188765
R28182,ERS10792303,SAMEA13188766
R20896,ERS10792304,SAMEA13188767
R23887,ERS10792305,SAMEA13188768
R37765,ERS10792306,SAMEA13188769
R30215,ERS10792307,SAMEA13188770
R21893,ERS10792308,SAMEA13188771
R27725,ERS10792309,SAMEA13188772
R21408,ERS10792310,SAMEA13188773
R28012,ERS10792311,SAMEA13188774
R28703,ERS10792312,SAMEA13188775
R21770,ERS10792313,SAMEA13188776
R20260,ERS10792314,SAMEA13188777
R25048,ERS10792315,SAMEA13188778
R23146,ERS10792316,SAMEA13188779
R32929,ERS10792317,SAMEA13188780
R23571,ERS10792318,SAMEA13188781
R20574,ERS10792319,SAMEA13188782
R28980,ERS10792320,SAMEA13188783
R24120,ERS10792321,SAMEA13188784
R28581,ERS10792322,SAMEA13188785
R15311,ERS10792323,SAMEA13188786
R22601,ERS10792324,SAMEA13188787
R20983,ERS10792325,SAMEA13188788
R26778,ERS10792326,SAMEA13188789
17_616026,ERS10792327,SAMEA13188790
17_616156,ERS10792328,SAMEA13188791
18_0621851,ERS10792329,SAMEA13188792
18_0622057,ERS10792330,SAMEA13188793
18_0622158,ERS10792331,SAMEA13188794
18_0622224,ERS10792332,SAMEA13188795
18_0622267,ERS10792333,SAMEA13188796
18_0622291,ERS10792334,SAMEA13188797
18_0622300,ERS10792335,SAMEA13188798
18_0622312,ERS10792336,SAMEA13188799
18_0622363,ERS10792337,SAMEA13188800
18_0622365,ERS10792338,SAMEA13188801
18_0622431,ERS10792339,SAMEA13188802
18_0622434,ERS10792340,SAMEA13188803
18_0622446,ERS10792341,SAMEA13188804
18_0622455,ERS10792342,SAMEA13188805
18_0622456,ERS10792343,SAMEA13188806
18_0622465,ERS10792344,SAMEA13188807
18_620606,ERS10792345,SAMEA13188808
