,,,value,value,value,value,value,value,value,value
,,,count,mean,std,min,25%,50%,75%,max
ratio,threshold,metric,,,,,,,,
0.01,5,1-XCR,1000.0,0.9997967479674796,0.0015513637720629277,0.983739837398374,1.0,1.0,1.0,1.0
0.01,5,SACP,1000.0,0.9988129714285715,0.007902835925466783,0.9285714285714286,1.0,1.0,1.0,1.0
0.01,5,SACR,1000.0,0.9994285714285714,0.0063663432396165965,0.9285714285714286,1.0,1.0,1.0,1.0
0.01,12,1-XCR,1000.0,0.9995102040816327,0.002182379497929809,0.9897959183673469,1.0,1.0,1.0,1.0
0.01,12,SACP,1000.0,0.9978129056603774,0.00696420752055167,0.9622641509433962,1.0,1.0,1.0,1.0
0.01,12,SACR,1000.0,0.9980597188679244,0.007994465524557706,0.9622641509433962,1.0,1.0,1.0,1.0
0.05,5,1-XCR,1000.0,0.998308943089431,0.004400988275472679,0.967479674796748,1.0,1.0,1.0,1.0
0.05,5,SACP,1000.0,0.9920204928571429,0.020828915606057177,0.8650857142857143,1.0,1.0,1.0,1.0
0.05,5,SACR,1000.0,0.9975,0.013133694167823548,0.9285714285714286,1.0,1.0,1.0,1.0
0.05,12,1-XCR,1000.0,0.9967653061224491,0.004750410751083709,0.9897959183673469,0.9897959183673469,1.0,1.0,1.0
0.05,12,SACP,1000.0,0.9851340679245284,0.01893170402851648,0.8924528301886792,0.9811320754716981,0.9874226415094339,1.0,1.0
0.05,12,SACR,1000.0,0.9887640132075471,0.018787367375174415,0.9245283018867925,0.968554716981132,1.0,1.0,1.0
0.1,5,1-XCR,1000.0,0.9971951219512195,0.0050796118517627996,0.975609756097561,0.991869918699187,1.0,1.0,1.0
0.1,5,SACP,1000.0,0.9832438464285713,0.03048054826944314,0.7936571428571428,0.9761928571428572,1.0,1.0,1.0
0.1,5,SACR,1000.0,0.9932857142857142,0.020855338626617006,0.9285714285714286,1.0,1.0,1.0,1.0
0.1,12,1-XCR,1000.0,0.9946020408163265,0.005096000591970338,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0,1.0
0.1,12,SACP,1000.0,0.9699881735849056,0.028967798337677143,0.8358490566037735,0.9496867924528302,0.9811320754716981,0.9874226415094339,1.0
0.1,12,SACR,1000.0,0.9785217056603773,0.02620509455255596,0.8679245283018868,0.9622641509433962,1.0,1.0,1.0
0.25,5,1-XCR,1000.0,0.9933739837398375,0.006943986654507266,0.967479674796748,0.991869918699187,0.991869918699187,1.0,1.0
0.25,5,SACP,1000.0,0.9620969607142857,0.04669084463126074,0.7936571428571428,0.946425,0.9761928571428572,1.0,1.0
0.25,5,SACR,1000.0,0.9875,0.02715408785697812,0.9285714285714286,1.0,1.0,1.0,1.0
0.25,12,1-XCR,1000.0,0.9918673469387757,0.004106467214714127,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0
0.25,12,SACP,1000.0,0.9328031924528302,0.04094437335958706,0.7981132075471697,0.9080188679245284,0.9308188679245283,0.964622641509434,1.0
0.25,12,SACR,1000.0,0.9515713132075471,0.03518655094850421,0.8207528301886792,0.9276698113207547,0.9622641509433962,0.968554716981132,1.0
0.5,5,1-XCR,1000.0,0.9876097560975611,0.008324792261802055,0.967479674796748,0.983739837398374,0.991869918699187,0.991869918699187,1.0
0.5,5,SACP,1000.0,0.9377382928571429,0.052211760457602584,0.7936571428571428,0.9047642857142858,0.9489821428571429,0.9761928571428572,1.0
0.5,5,SACR,1000.0,0.981,0.03157752360683143,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0
0.5,12,1-XCR,1000.0,0.9912040816326533,0.003521148621848634,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0
0.5,12,SACP,1000.0,0.8989325471698113,0.054199758622039136,0.7226415094339622,0.8679245283018868,0.9068396226415094,0.9308188679245283,1.0
0.5,12,SACR,1000.0,0.9309571150943395,0.038581548717109566,0.7955943396226415,0.8962245283018868,0.9276698113207547,0.9654056603773584,1.0
0.75,5,1-XCR,1000.0,0.9817804878048783,0.008936165564833903,0.967479674796748,0.975609756097561,0.975609756097561,0.991869918699187,1.0
0.75,5,SACP,1000.0,0.9379770750000002,0.050965659352121113,0.7936571428571428,0.9047642857142858,0.9761928571428572,0.9761928571428572,1.0
0.75,5,SACR,1000.0,0.9852857142857143,0.028902345054186575,0.9285714285714286,1.0,1.0,1.0,1.0
0.75,12,1-XCR,1000.0,0.9902857142857144,0.002182379497929809,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0
0.75,12,SACP,1000.0,0.893122237735849,0.05089494577316318,0.7226415094339622,0.8553471698113208,0.8993716981132076,0.9308188679245283,1.0
0.75,12,SACR,1000.0,0.9358179075471699,0.0335563070293472,0.8333301886792452,0.9276698113207547,0.9276698113207547,0.9654056603773584,1.0
0.9,5,1-XCR,1000.0,0.9777235772357726,0.006778240913201144,0.967479674796748,0.975609756097561,0.975609756097561,0.975609756097561,1.0
0.9,5,SACP,1000.0,0.9580760892857144,0.03434690032981185,0.8080357142857143,0.946425,0.9761928571428572,0.9761928571428572,1.0
0.9,5,SACR,1000.0,0.9926428571428572,0.02172221230834449,0.9285714285714286,1.0,1.0,1.0,1.0
0.9,12,1-XCR,1000.0,0.9898367346938778,0.0006443930460128254,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,1.0
0.9,12,SACP,1000.0,0.9009747094339621,0.03862153857295459,0.760377358490566,0.8742150943396226,0.9119509433962264,0.9119509433962264,0.9874226415094339
0.9,12,SACR,1000.0,0.9484686037735849,0.026406794298905405,0.8333301886792452,0.9276698113207547,0.9654056603773584,0.9654056603773584,1.0
