Drug,Technology,FN(R),FP(S),FNR(95% CI),FPR(95% CI),PPV(95% CI),NPV(95% CI)
Isoniazid,Illumina,9(51),3(48),17·6% (9·6-30·3%),6·2% (2·1-16·8%),93·3% (82·1-97·7%),83·3% (71·3-91·0%)
Isoniazid,Nanopore,9(51),4(48),17·6% (9·6-30·3%),8·3% (3·3-19·6%),91·3% (79·7-96·6%),83·0% (70·8-90·8%)
Rifampicin,Illumina,6(48),1(44),12·5% (5·9-24·7%),2·3% (0·4-11·8%),97·7% (87·9-99·6%),87·8% (75·8-94·3%)
Rifampicin,Nanopore,6(48),1(44),12·5% (5·9-24·7%),2·3% (0·4-11·8%),97·7% (87·9-99·6%),87·8% (75·8-94·3%)
Ethambutol,Illumina,4(14),14(77),28·6% (11·7-54·6%),18·2% (11·2-28·2%),41·7% (24·5-61·2%),94·0% (85·6-97·7%)
Ethambutol,Nanopore,4(14),14(77),28·6% (11·7-54·6%),18·2% (11·2-28·2%),41·7% (24·5-61·2%),94·0% (85·6-97·7%)
Streptomycin,Illumina,4(8),11(83),50·0% (21·5-78·5%),13·3% (7·6-22·2%),26·7% (10·9-52·0%),94·7% (87·2-97·9%)
Streptomycin,Nanopore,3(8),11(83),37·5% (13·7-69·4%),13·3% (7·6-22·2%),31·2% (14·2-55·6%),96·0% (88·9-98·6%)
Amikacin,Illumina,1(11),2(78),9·1% (1·6-37·7%),2·6% (0·7-8·9%),83·3% (55·2-95·3%),98·7% (93·0-99·8%)
Amikacin,Nanopore,0(11),2(78),0·0% (0·0-25·9%),2·6% (0·7-8·9%),84·6% (57·8-95·7%),100·0% (95·2-100·0%)
Capreomycin,Illumina,1(1),1(51),100·0% (20·7-100·0%),2·0% (0·3-10·3%),0·0% (0·0-79·3%),98·0% (89·7-99·7%)
Capreomycin,Nanopore,1(1),1(51),100·0% (20·7-100·0%),2·0% (0·3-10·3%),0·0% (0·0-79·3%),98·0% (89·7-99·7%)
Kanamycin,Illumina,0(0),1(52),-,1·9% (0·3-10·1%),0·0% (0·0-79·3%),100·0% (93·0-100·0%)
Kanamycin,Nanopore,0(0),1(52),-,1·9% (0·3-10·1%),0·0% (0·0-79·3%),100·0% (93·0-100·0%)
Ofloxacin,Illumina,0(10),4(77),0·0% (-0·0-27·8%),5·2% (2·0-12·6%),71·4% (45·4-88·3%),100·0% (95·0-100·0%)
Ofloxacin,Nanopore,0(10),4(77),0·0% (-0·0-27·8%),5·2% (2·0-12·6%),71·4% (45·4-88·3%),100·0% (95·0-100·0%)

