run,sample,barcode,barcode_kit,sequencing_kit
FAK46355,R37259,NB01,EXP-NBD103,SQK-LSK109
FAK46355,R32273,NB02,EXP-NBD103,SQK-LSK109
FAK46355,R24644,NB03,EXP-NBD103,SQK-LSK109
FAK46355,R23144,NB04,EXP-NBD103,SQK-LSK109
FAK46355,R29669,NB05,EXP-NBD103,SQK-LSK109
FAK46355,R28691,NB06,EXP-NBD103,SQK-LSK109
FAK46355,R27273,NB07,EXP-NBD103,SQK-LSK109
FAK46355,R21911,NB08,EXP-NBD103,SQK-LSK109
FAK46355,R20968,NB09,EXP-NBD103,SQK-LSK109
FAK46428,R37765,NB01,EXP-NBD103,SQK-LSK109
FAK46428,R32929,NB02,EXP-NBD103,SQK-LSK109
FAK46428,R25048,NB03,EXP-NBD103,SQK-LSK109
FAK46428,R22601,NB04,EXP-NBD103,SQK-LSK109
FAK46428,R30215,NB05,EXP-NBD103,SQK-LSK109
FAK46428,R27725,NB06,EXP-NBD103,SQK-LSK109
FAK46428,R28703,NB07,EXP-NBD103,SQK-LSK109
FAK46428,R21839,NB08,EXP-NBD103,SQK-LSK109
FAK46428,R20896,NB09,EXP-NBD103,SQK-LSK109
FAK48818,R24100,NB19,EXP-NBD114,SQK-LSK109
FAK48818,R15311,NB20,EXP-NBD114,SQK-LSK109
FAK48818,R28773,NB21,EXP-NBD114,SQK-LSK109
FAK48818,R27252,NB22,EXP-NBD114,SQK-LSK109
FAK48818,R26791,NB23,EXP-NBD114,SQK-LSK109
FAK48818,R21408,NB24,EXP-NBD114,SQK-LSK109
FAK49586,R16657,NB01,EXP-NBD103,SQK-LSK109
FAK49586,R30420,NB02,EXP-NBD103,SQK-LSK109
FAK49586,R28195,NB03,EXP-NBD103,SQK-LSK109
FAK49586,R26792,NB04,EXP-NBD103,SQK-LSK109
FAK49586,R21770,NB05,EXP-NBD103,SQK-LSK109
FAK49586,R20412,NB06,EXP-NBD103,SQK-LSK109
FAK49586,R36440,NB07,EXP-NBD103,SQK-LSK109
FAK49586,R22727,NB08,EXP-NBD103,SQK-LSK109
FAK49586,R24409,NB09,EXP-NBD103,SQK-LSK109
FAK49586,R18043,NB10,EXP-NBD103,SQK-LSK109
FAK49586,R29598,NB11,EXP-NBD103,SQK-LSK109
FAK49586,R28182,NB12,EXP-NBD103,SQK-LSK109
FAK48888,R21046,NB01,EXP-NBD103,SQK-LSK109
FAK48888,R21363,NB02,EXP-NBD103,SQK-LSK109
FAK48888,R23146,NB03,EXP-NBD103,SQK-LSK109
FAK48888,R27657,NB04,EXP-NBD103,SQK-LSK109
FAK48888,R31095,NB05,EXP-NBD103,SQK-LSK109
FAK48888,R23887,NB06,EXP-NBD103,SQK-LSK109
FAK48888,R17830,NB07,EXP-NBD103,SQK-LSK109
FAK48888,R30396,NB08,EXP-NBD103,SQK-LSK109
FAK48888,R28538,NB09,EXP-NBD103,SQK-LSK109
FAK48913,R13303,NB13,EXP-NBD114,SQK-LSK109
FAK48913,R28980,NB14,EXP-NBD114,SQK-LSK109
FAK48913,R27006,NB15,EXP-NBD114,SQK-LSK109
FAK48913,R22333,NB16,EXP-NBD114,SQK-LSK109
FAK48913,R20574,NB17,EXP-NBD114,SQK-LSK109
FAK48913,R38290,NB18,EXP-NBD114,SQK-LSK109
FAK48914,R28012,NB01,EXP-NBD103,SQK-LSK109
FAK48914,R23399,NB02,EXP-NBD103,SQK-LSK109
FAK48914,R30078,NB03,EXP-NBD103,SQK-LSK109
FAK48914,R20983,NB04,EXP-NBD103,SQK-LSK109
FAK48914,R23571,NB05,EXP-NBD103,SQK-LSK109
FAK48914,R30234,NB06,EXP-NBD103,SQK-LSK109
FAK48856,R26778,NB01,EXP-NBD103,SQK-LSK109
FAK48856,R21648,NB02,EXP-NBD103,SQK-LSK109
FAK48856,R20328,NB03,EXP-NBD103,SQK-LSK109
FAK48856,R36431,NB04,EXP-NBD103,SQK-LSK109
FAK48856,R22393,NB05,EXP-NBD103,SQK-LSK109
FAK48856,R24120,NB06,EXP-NBD103,SQK-LSK109
FAK48856,R18040,NB07,EXP-NBD103,SQK-LSK109
FAK48856,R29816,NB08,EXP-NBD103,SQK-LSK109
FAK48856,R28581,NB09,EXP-NBD103,SQK-LSK109
FAK48856,R27937,NB10,EXP-NBD103,SQK-LSK109
FAK48856,R21893,NB11,EXP-NBD103,SQK-LSK109
FAK48856,R20260,NB12,EXP-NBD103,SQK-LSK109
